kommunkod,kommun,partier,majoritet,kso_parti,lokalt_partinamn,kso_lokalt_namn
1861,Hallsbergs,S+C+L+KD,Majoritet,S,,
1862,Degerfors,V+S,Majoritet,V,,
1863,Hällefors,C+M+ÖP,Minoritet,M,Grythyttelistan,
1864,Ljusnarsbergs,V+S,Majoritet,S,,
1880,Örebro,S+C+M,Majoritet,S,,
1881,Kumla,S+M,Majoritet,S,,
1882,Askersunds,L+M+KD,Minoritet,M,,
1883,Karlskoga,C+L+M+KD,Minoritet,M,,
1884,Nora,S+M+KD,Majoritet,M/S,,Roterar
1885,Lindesbergs,M+KD+SD,Minoritet,M,,
1904,Skinnskattebergs,C+L+M+SD,Majoritet,SD,,
1907,Surahammars,S+C+M+KD,Majoritet,M,,
1960,Kungsörs,V+S+C,Majoritet,S,,
1961,Hallstahammars,V+S+MP+L,Majoritet,S,,
1962,Norbergs,S+ÖP,Majoritet,S,Partiet för Norbergs Framtid (PNF),
1980,Västerås,V+S+C+KD,Majoritet,S,,
1981,Sala,V+S+MP+C,Majoritet,S,,
1982,Fagersta,S+C+L+M,Majoritet,S,,
1983,Köpings,V+S+C+KD,Majoritet,S,,
1984,Arboga,V+S+MP+C,Majoritet,S,,
2021,Vansbro,S+M,Minoritet,S,,
2023,Malung-Sälens,S+M,Majoritet,S,,
2026,Gagnefs,S+C+M,Majoritet,C,,
2029,Leksands,S+C+L+M,Minoritet,M,,
2031,Rättviks,C+M+KD,Majoritet,C,,
2034,Orsa,S+C,Majoritet,C,,
2039,Älvdalens,S+C,Majoritet,S,,
2061,Smedjebackens,V+S,Majoritet,S,,
2062,Mora,C+M+KD,Minoritet,C,,
2080,Falu,S+M,Majoritet,S,,
2081,Borlänge,S+M,Majoritet,S,,
2082,Säters,S+C+KD,Majoritet,S,,
2083,Hedemora,S+M,Minoritet,S,,
2084,Avesta,S+C,Majoritet,S,,
2085,Ludvika,S+M+KD,Majoritet,S,,
2101,Ockelbo,S,Minoritet,S,,
2104,Hofors,V+S+L+KD,Majoritet,S,,
2121,Ovanåkers,S+C,Minoritet,S,,
2132,Nordanstigs,S+L+M,Majoritet,S,,
2161,Ljusdals,V+S+M+KD,Majoritet,M,,
2180,Gävle,S+MP+C+L+KD,Majoritet,S,,
2181,Sandvikens,S+C+L,Minoritet,S,,
2182,Söderhamns,C+L+M+KD,Minoritet,C,,
2183,Bollnäs,S+C+M,Majoritet,S,,
2184,Hudiksvalls,S+MP+M,Majoritet,S,,
2260,Ånge,S+C+M+KD,Majoritet,S,,
2262,Timrå,S+M,Majoritet,S,,
2280,Härnösands,S,Minoritet,S,,
2281,Sundsvalls,V+S+C,Majoritet,S,,
2282,Kramfors,V+S,Majoritet,S,,
2283,Sollefteå,V+C+ÖP,Majoritet,C,Västra Initiativet,
2284,Örnsköldsviks,C+M+KD,Minoritet,C,,
2303,Ragunda,S,Minoritet,S,,
2305,Bräcke,S+C,Majoritet,S,,
2309,Krokoms,S+M+KD,Majoritet,S,,
2313,Strömsunds,S+C,Majoritet,S,,
2321,Åre,V+S+ÖP,Majoritet,S,Västjämtlands väl,
2326,Bergs,S+C,Majoritet,S,,
2361,Härjedalens,S+C+M,Majoritet,S,,
2380,Östersunds,S+C,Majoritet,S,,
2401,Nordmalings,C+L+M+KD,Majoritet,C,,
2403,Bjurholms,L+M+KD+SD,Majoritet,M,,
2404,Vindelns,S+KD,Minoritet,S,,
2409,Robertsfors,V+S,Minoritet,S,,
2417,Norsjö,V+S,Majoritet,S,,
2418,Malå,V,Minoritet,L,,
2421,Storumans,S+C+KD,Minoritet,S,,
2422,Sorsele,V+S,Majoritet,V/S,,Roterar
2425,Dorotea,V+S+C+L+KD,Majoritet,S,,
2460,Vännäs,V+S+M,Majoritet,S,,
2462,Vilhelmina,S,Minoritet,S,,
2463,Åsele,S+ÖP,Majoritet,S,Åsele partiet,
2480,Umeå,S+MP,Minoritet,S,,
2481,Lycksele,C+L+M+KD,Majoritet,KD,,
2482,Skellefteå,V+S,Majoritet,S,,
2505,Arvidsjaurs,S,Minoritet,S,,
2506,Arjeplogs,S+L,Majoritet,S,,
2510,Jokkmokks,V+MP+ÖP,Majoritet,ÖP,"Samernas Väl, Framtid i Jokkmokk",Framtid i Jokkmokk
2513,Överkalix,S,Majoritet,S,,
2514,Kalix,S+MP+C,Majoritet,S,,
2518,Övertorneå,V+C+KD+ÖP,Minoritet,C,Framtid S,
2521,Pajala,S+KD+ÖP,Minoritet,S,Sjukvårdspartiet,
2523,Gällivare,S+MP,Minoritet,S,,
2560,Älvsbyns,L+M+KD+SD,Minoritet,M,,
2580,Luleå,V+S+MP,Majoritet,S,,
2581,Piteå,S+C,Majoritet,S,,
2582,Bodens,S+ÖP,Minoritet,S,SJVP,
2583,Haparanda,C+M+KD+SD+ÖP,Majoritet,C,SJVP,
2584,Kiruna,V+S+ÖP,Majoritet,S,Feministiskt Initiativ och Sámelistu,
