institut,datum,urval,urval_skattat,V,S,MP,C,L,M,KD,SD
Novus,2015-12-15,2330,True,6.8,24.7,5.8,7.0,5.8,21.4,3.5,22.0
Demoskop,2015-12-15,2100,True,7.0,26.3,6.4,7.0,6.4,21.9,3.6,18.5
Skop,2015-12-15,1200,True,7.6,25.3,6.7,8.6,5.8,23.8,3.3,16.3
Sentio,2015-12-15,1000,True,6.9,23.5,5.6,7.3,5.3,17.8,3.0,26.6
Sifo,2015-11-15,1200,True,6.6,26.8,5.8,6.8,5.8,24.6,3.9,17.6
Yougov,2015-11-15,1200,True,6.7,21.4,5.5,7.5,5.1,20.6,3.6,26.7
Demoskop,2015-11-15,2100,True,5.8,26.7,7.2,6.9,5.4,22.1,3.5,18.9
Sentio,2015-11-15,1000,True,6.5,22.0,5.5,7.4,5.2,19.3,2.9,26.8
Inizio,2015-11-15,1200,True,5.7,25.8,5.5,8.3,4.8,21.5,5.6,20.7
Ipsos,2015-11-15,1800,True,7.2,27.5,6.8,6.3,6.6,23.2,3.3,17.2
SCB,2015-11-15,4500,True,5.5,27.6,5.9,6.5,5.5,23.5,3.5,19.9
Novus,2015-11-15,2330,True,7.1,24.4,6.4,7.0,5.2,22.6,3.8,20.7
Skop,2015-10-15,1200,True,5.2,27.1,7.8,8.6,5.9,23.8,3.7,15.7
Ipsos,2015-10-15,1800,True,6.6,27.7,6.6,7.1,6.3,22.0,3.3,17.6
Yougov,2015-10-15,1200,True,7.0,23.2,4.9,6.2,4.5,21.8,3.9,24.8
Inizio,2015-10-15,1200,True,5.7,26.2,5.3,8.4,4.2,20.8,6.6,20.5
Novus,2015-10-15,2330,True,6.6,26.0,6.6,6.9,4.8,22.4,3.9,19.4
Sifo,2015-10-15,1200,True,7.3,24.6,7.1,8.0,5.6,23.8,3.7,17.2
Sentio,2015-10-15,1000,True,7.9,23.1,5.1,6.7,4.6,20.8,1.9,25.0
Demoskop,2015-10-15,2100,True,7.0,25.2,6.7,7.6,4.7,22.3,3.5,19.5
Demoskop,2015-09-15,2100,True,6.5,25.2,6.4,7.2,5.3,23.1,3.5,19.5
Yougov,2015-09-15,1200,True,6.5,21.8,5.0,7.5,3.7,20.0,4.9,27.3
Sentio,2015-09-15,1000,True,4.9,24.1,6.7,6.6,4.1,19.8,2.6,26.5
Sifo,2015-09-15,1200,True,7.3,27.0,7.2,6.7,5.0,22.8,3.7,17.7
Ipsos,2015-09-15,1800,True,6.6,27.3,7.3,7.1,6.6,22.5,3.0,16.7
Novus,2015-09-15,2330,True,6.7,26.5,5.9,6.0,4.9,23.1,3.2,20.8
Inizio,2015-09-02,1200,True,7.0,25.6,5.2,8.4,4.1,22.0,3.5,21.2
Inizio,2015-09-01,1200,True,6.2,24.9,4.8,9.6,5.1,21.1,4.2,21.5
Sentio,2015-08-15,1000,True,7.5,23.5,6.4,7.8,4.6,21.1,2.0,23.4
Yougov,2015-08-15,1200,True,6.8,23.4,6.4,5.6,4.4,21.0,3.7,25.2
Ipsos,2015-08-15,1800,True,6.6,26.8,6.8,6.2,5.4,23.8,3.5,17.8
Sifo,2015-08-15,1200,True,6.5,26.3,7.6,6.1,4.7,24.5,4.0,17.8
Novus,2015-08-15,2330,True,7.3,25.1,6.7,6.7,5.2,23.3,3.3,19.4
Inizio,2015-08-15,1200,True,6.5,25.5,5.7,8.6,4.2,21.4,4.5,20.8
Sentio,2015-07-15,1000,True,6.4,24.1,6.4,6.7,4.4,20.8,3.1,23.3
Yougov,2015-07-15,1200,True,6.8,23.2,5.7,6.7,4.9,23.1,4.2,22.1
Demoskop,2015-07-15,2100,True,6.8,25.5,7.1,6.6,4.7,23.1,4.2,18.7
Ipsos,2015-06-15,1800,True,6.4,27.1,6.5,5.4,5.8,26.6,2.7,15.9
Sifo,2015-06-15,1200,True,6.2,27.1,6.6,7.9,4.6,25.0,4.1,15.2
Skop,2015-06-15,1200,True,5.7,29.7,7.5,7.4,4.6,25.4,3.6,14.0
Inizio,2015-06-15,1200,True,6.7,27.3,5.7,8.0,4.0,24.3,3.1,17.9
Demoskop,2015-06-15,2100,True,6.8,25.9,6.8,7.3,4.7,26.1,3.7,15.7
Yougov,2015-06-15,1200,True,6.9,24.7,5.9,6.6,5.2,23.6,3.4,20.1
Sentio,2015-06-15,1000,True,6.9,23.9,6.8,6.3,3.7,23.8,2.1,22.1
Novus,2015-06-15,2330,True,6.5,26.4,6.0,6.4,4.9,25.0,4.0,18.0
Sentio,2015-05-15,1000,True,6.5,24.3,5.5,8.5,4.2,24.3,2.2,19.4
Novus,2015-05-15,2330,True,6.8,25.8,7.2,6.7,4.5,25.7,3.5,16.8
Yougov,2015-05-15,1200,True,6.7,26.1,5.4,6.6,4.9,22.9,3.5,19.7
SCB,2015-05-15,4500,True,6.2,30.0,6.6,6.4,4.9,25.6,3.7,14.4
Inizio,2015-05-15,1200,True,6.7,26.9,5.6,8.5,4.6,23.3,4.0,17.2
Sifo,2015-05-15,1200,True,7.5,25.9,8.2,7.2,5.7,24.4,3.2,14.7
Demoskop,2015-05-15,2100,True,6.3,27.7,6.4,6.2,5.3,25.8,4.2,15.0
Ipsos,2015-05-15,1800,True,6.8,27.7,6.7,6.8,5.4,26.1,3.5,14.0
Yougov,2015-04-15,1200,True,6.6,26.2,5.6,6.3,4.9,23.5,3.7,19.5
Demoskop,2015-04-15,2100,True,6.1,28.3,6.9,6.5,5.3,25.0,3.8,15.7
Novus,2015-04-15,2330,True,7.1,27.1,6.8,5.9,5.2,25.2,3.7,15.8
Sentio,2015-04-15,1000,True,7.4,25.6,5.6,5.6,4.1,25.5,3.5,17.8
Sifo,2015-04-15,1200,True,6.6,27.4,8.9,6.5,5.6,24.7,3.9,12.5
Ipsos,2015-04-15,1800,True,6.5,27.7,6.8,4.9,6.0,25.8,4.1,14.6
Inizio,2015-04-02,1200,True,5.5,27.3,6.4,7.6,4.9,24.1,4.3,16.4
Inizio,2015-04-01,1200,True,6.7,28.8,6.1,7.3,3.5,24.4,4.5,16.3
Ipsos,2015-03-15,1800,True,6.7,30.7,7.2,4.7,5.8,24.8,3.8,12.8
Inizio,2015-03-15,1200,True,6.4,28.8,5.7,6.1,3.8,24.7,5.2,16.0
Skop,2015-03-15,1200,True,6.3,30.6,7.1,6.4,6.1,24.4,3.6,12.9
Demoskop,2015-03-15,2100,True,5.8,31.3,6.2,6.5,4.5,24.1,3.7,14.2
Sentio,2015-03-15,1000,True,7.7,28.2,6.6,6.8,4.7,22.2,3.8,16.6
Novus,2015-03-15,2330,True,5.3,31.0,6.5,5.6,4.9,24.2,4.2,15.2
Sifo,2015-03-15,1200,True,6.5,29.8,6.6,6.6,5.1,23.9,4.0,13.9
Yougov,2015-03-15,1200,True,5.6,29.1,5.8,6.3,5.2,21.1,4.6,18.5
Ipsos,2015-02-15,1800,True,6.3,31.4,7.5,6.0,5.2,23.7,3.7,13.6
Sentio,2015-02-15,1000,True,5.9,28.5,7.2,5.9,4.8,23.1,3.7,16.6
Inizio,2015-02-15,1200,True,5.6,30.3,5.8,7.2,3.9,24.3,5.3,14.8
Demoskop,2015-02-15,2100,True,6.5,30.6,6.9,5.8,4.5,24.3,4.7,14.0
Yougov,2015-02-15,1200,True,5.8,30.1,6.3,6.7,4.4,21.8,3.5,19.0
Novus,2015-02-15,2330,True,7.0,30.9,6.1,5.9,4.0,23.4,4.6,15.0
Sifo,2015-02-15,1200,True,7.2,28.9,7.9,7.0,5.2,22.1,4.7,13.0
Sentio,2015-01-15,1000,True,7.0,29.7,5.6,5.4,4.8,23.7,3.9,15.8
Sifo,2015-01-15,1200,True,6.9,29.7,7.4,5.8,5.1,24.0,3.7,13.3
Demoskop,2015-01-15,2100,True,5.3,32.3,6.6,5.3,4.8,24.4,4.1,14.4
Ipsos,2015-01-15,1800,True,5.8,34.3,6.3,5.0,6.2,23.2,3.8,13.1
Inizio,2015-01-15,1200,True,5.4,33.0,5.5,6.1,3.5,24.8,4.9,13.6
Novus,2015-01-15,2330,True,5.3,30.0,6.4,6.0,4.1,24.1,4.5,16.5
Yougov,2014-12-27,1200,True,6.0,30.6,5.7,5.7,3.7,23.2,5.5,16.9
Novus,2014-12-15,2330,True,5.3,32.0,6.0,6.6,4.3,23.7,3.9,16.0
Sentio,2014-12-15,1000,True,5.1,29.7,7.2,5.5,3.7,24.5,3.9,17.5
Ipsos,2014-12-15,1800,True,5.4,32.0,6.7,5.1,5.6,26.3,3.9,12.5
Demoskop,2014-12-15,2100,True,6.4,27.3,7.9,6.1,5.5,26.1,4.0,13.5
Sifo,2014-12-15,1200,True,5.9,31.0,7.4,6.1,5.7,24.5,3.7,12.9
Yougov,2014-12-05,1200,True,4.7,29.6,6.9,5.7,5.0,23.1,4.2,16.0
Inizio,2014-12-02,1200,True,4.1,30.5,6.1,6.6,4.2,27.9,4.2,13.2
Inizio,2014-12-01,1200,True,4.2,31.0,5.8,7.4,4.8,26.9,4.3,14.0
Demoskop,2014-11-15,2100,True,7.1,28.3,7.0,6.2,4.8,25.1,4.2,13.8
Inizio,2014-11-15,1200,True,6.2,29.8,7.5,6.3,6.1,24.5,3.7,12.0
SCB,2014-11-15,4500,True,5.7,32.2,7.2,6.0,5.3,24.2,3.7,12.4
Sifo,2014-11-15,1200,True,5.9,28.4,8.4,6.1,5.5,25.6,3.9,12.1
Skop,2014-11-15,1200,True,6.4,30.7,6.7,6.8,5.3,25.3,4.2,11.8
Novus,2014-11-15,2330,True,6.3,28.6,7.9,7.1,5.2,25.8,4.0,12.3
Ipsos,2014-11-15,1800,True,6.2,28.5,7.4,6.2,6.4,26.5,2.8,12.5
Sentio,2014-10-15,1000,True,5.2,27.3,6.9,5.1,5.1,25.1,2.8,16.7
Demoskop,2014-10-15,2100,True,6.0,30.3,8.1,5.8,5.5,24.1,3.9,13.3
Sifo,2014-10-15,1200,True,7.1,26.6,10.0,6.1,4.9,24.7,4.5,12.4
Inizio,2014-10-15,1200,True,5.9,30.6,7.3,5.9,5.6,24.0,4.2,12.9
Ipsos,2014-10-15,1800,True,6.2,30.7,7.9,5.8,5.5,24.1,3.9,12.5
Novus,2014-10-15,2330,True,5.7,30.3,7.1,5.7,5.8,24.6,4.1,13.2
Demoskop,2014-09-21,2100,True,5.5,31.0,6.9,6.8,5.5,24.6,4.0,12.1
Ipsos,2014-09-15,1800,True,6.2,30.7,7.1,6.1,5.6,24.0,4.2,12.4
Yougov,2014-09-15,1200,True,6.0,32.0,8.0,5.0,6.0,24.0,4.0,11.0
Inizio,2014-09-14,1200,True,5.72,31.01,6.89,6.11,5.42,23.33,4.57,12.86
Demoskop,2014-09-14,2100,True,5.72,31.01,6.89,6.11,5.42,23.33,4.57,12.86
Sifo,2014-09-14,1200,True,5.72,31.01,6.89,6.11,5.42,23.33,4.57,12.86
Novus,2014-09-14,2330,True,5.72,31.01,6.89,6.11,5.42,23.33,4.57,12.86
Yougov,2014-09-14,1200,True,5.72,31.01,6.89,6.11,5.42,23.33,4.57,12.86
Ipsos,2014-09-14,1800,True,5.72,31.01,6.89,6.11,5.42,23.33,4.57,12.86
Skop,2014-09-14,1200,True,5.72,31.01,6.89,6.11,5.42,23.33,4.57,12.86
SCB,2014-09-14,4500,True,5.72,31.01,6.89,6.11,5.42,23.33,4.57,12.86
Sentio,2014-09-14,1000,True,5.72,31.01,6.89,6.11,5.42,23.33,4.57,12.86
