namn,parti,valkrets,fodd
Johanna Haraldsson,S,Jönköpings län,1980
Jonathan Svensson,S,Västra Götalands läns norra,2000
Jytte Guteland,S,Stockholms kommun,1979
Kadir Kasirga,S,Stockholms kommun,1975
Kalle Olsson,S,Jämtlands län,1984
Karin Sundin,S,Örebro län,1972
Kenneth G Forslund,S,Västra Götalands läns västra,1967
Kristoffer Lindberg,S,Gävleborgs län,1992
Laila Naraghi,S,Kalmar län,1982
Lars Isacsson,S,Dalarnas län,1970
Lars Mejern Larsson,S,Värmlands län,1965
Lawen Redar,S,Stockholms kommun,1989
Leif Nysmed,S,Stockholms län,1970
Lena Hallengren,S,Kalmar län,1973
Lena Johansson,S,Västmanlands län,1969
Linnéa Wickman,S,Gävleborgs län,1992
Linus Sköld,S,Norrbottens län,1983
Louise Thunström,S,Västra Götalands läns norra,1973
Magdalena Andersson,S,Stockholms län,1967
Magnus Manhammar,S,Blekinge län,1980
Malin Larsson,S,Västernorrlands län,1980
Marianne Fundahn,S,Skåne läns södra,1958
Marie Olsson,S,Dalarnas län,1967
Markus Kallifatides,S,Stockholms kommun,1972
Markus Selin,S,Stockholms län,1978
Mathias Tegnér,S,Stockholms län,1979
Matilda Ernkrans,S,Örebro län,1973
Mats Wiking,S,Västra Götalands läns norra,1961
Mattias Jonsson,S,Göteborgs kommun,1974
Mattias Ottosson,S,Östergötlands län,1971
Mattias Vepsä,S,Stockholms kommun,1980
Mikael Dahlqvist,S,Värmlands län,1967
Mikael Damberg,S,Stockholms län,1971
Mirja Räihä,S,Stockholms kommun,1959
Monica Haider,S,Kronobergs län,1963
Morgan Johansson,S,Skåne läns södra,1970
Niklas Karlsson,S,Skåne läns västra,1974
Niklas Sigvardsson,S,Jönköpings län,1991
Ola Möller,S,Skåne läns västra,1983
Olle Thorell,S,Västmanlands län,1967
Patrik Björck,S,Västra Götalands läns östra,1957
Patrik Lundqvist,S,Gävleborgs län,1984
Paula Holmqvist,S,Västra Götalands läns norra,1964
Peder Björk,S,Västernorrlands län,1975
Per-Arne Håkansson,S,Skåne läns norra och östra,1963
Peter Hedberg,S,Västernorrlands län,1990
Peter Hultqvist,S,Dalarnas län,1958
Petter Löberg,S,Västra Götalands läns södra,1968
Robert Olesen,S,Kronobergs län,1975
Rose-Marie Carlsson,S,Malmö kommun,1954
